question,level,btl,source
Enlist and draw different types of polygon?,easy,1,devane
Derive the expression for state transition matrix by Laplace transform method.,medium,4,devane
Draw neat circuit diagram and explain voltage follower.,easy,2,devane
(16) Organize in detail about Internet and World Wide Web.,medium,3,srm
Differentiate block-level virtualization from file-level virtualization.,easy,1,srm
How can small personal actions support the achievement of,easy,2,srm
"of DCS. 4. Compose the control, analysis and optimization in thermal power",hard,6,srm
Describe the working of an interrupt/exception handler.,easy,2,srm
Write a short note on Ocean thermal energy conversion.,easy,1,devane
"safety aspects of CNG, LNG, and LPG used in automotive applications. 8. Compare CNG, LNG, and LPG in 16",medium,4,srm
What is non-repudiation in digital communication?,easy,2,srm
What are semantic networks?,easy,2,srm
Define Input bias current,easy,1,srm
Differentiate between MTBF and MTTR?,hard,5,srm
Can you apply the method used to some experience of your own . . .?,medium,3,devane
Differentiate A.C. and D.C. circuit breaking,easy,2,srm
Propose TWO (2) strategies to reduce the occurrence of bullying.,hard,6,devane
Debate the ethical implications of using autonomous drones for package delivery and logistics.,hard,5,devane
modern Java web development. 17. Write a detailed note on the integration of Struts with other,medium,3,srm
What is Proof of Work?,easy,2,srm
What is the principle of SEM?,easy,2,srm
"Polyoxymethylene Dimethyl Ether (PODE) in reducing soot and particulate emissions in diesel engines. 11. Explain the properties, production, 16",medium,3,srm
digital by impulse invariant method? 4 List the different types of filters based on frequency response. CO 2,easy,1,srm
"Interpret, how electrons move in a periodic potential.",easy,2,srm
Level Explain the IoT deployment architecture using Raspberry Pi with a neat 8 1(i),medium,3,srm
Compare the difference between single and multiple linear 11,easy,2,srm
inputs are transformed through layers using weights and activation functions. 2 Compare single-layer and multilayer perceptrons. Explain why multilayer,hard,5,srm
'st initially . 6. Consider the computer with three instruction classes and CPI 16,hard,6,srm
systems with diesel engines and,medium,3,srm
Model the behavior of predator-prey interactions in an ecosystem.,medium,3,devane
Illustrate process reaction curve tuning method in detail.,easy,2,devane
"As an educator, evaluate FIVE (5) advantages and FIVE (5) disadvantages of using technology in education.",hard,5,devane
What is frequency polygon?,easy,1,srm
Propose a novel algorithm for generating synthetic training data to address data scarcity issues in medical image analysis for diagnosing rare diseases.,hard,6,devane
Assessment.(13) Mention key considerations for Quality Assurance Plan 3. implementation in Software Process Assessment.,easy,1,srm
"commercial context with reference to 3-D visuals, animation and media. 11 Explain about media and the various types and functions of CO1",medium,3,srm
Mention one advantage and one limitation of chemical,easy,2,srm
Show that for an HCP structure c/a = √8 /√3 and hence calculate packing fraction for HCP structure.,medium,3,srm
Design a new animal to live in the jungle.,hard,6,devane
l 1. Define a defibrillator and state its primary function.,easy,1,srm
Define Cyber Ethics and explain its significance.,easy,1,srm
List out the advantages and disadvantages of NLP.,hard,6,srm
Give the advantages of brushless DC motor.,easy,1,srm
management with blockchain. (13) 10. Compare membership and access control of blockchain.,medium,4,srm
How does...compare/contrast with...?,medium,4,devane
What is logical representation?,easy,1,srm
What are the commonly used interconnected devices?,easy,1,srm
Outline the role of cross-validation in hyperparameter tuning.,easy,2,srm
Explain operation of capture mode of PIC18FXX microcontroller along with diagram.,medium,4,devane
Mention the pharmaceutical waste.,easy,2,srm
Dopamine and glutamate have both been implicated as causes of schizophrenia. Discuss THREE (3) evidences each in relation to the dopamine and glutamate theories of schizophrenia.,easy,2,devane
What is meant by magnetic flux density?,easy,2,srm
EI3464 – Control Systems 10.,medium,3,srm
Q. Questions CO BT Level Domain No. 1. Mention the advantages and disadvantages of digital communication,easy,1,srm
Show the Documents Documentation plan worksheet,easy,2,srm
What type of sensor is used to monitor casing expansion?,easy,2,srm
List the elements of product process.,easy,1,srm
State any two roles of metadata in a data warehouse.,easy,1,srm
file.(16) Describe in detail about FileInputStream and FileOutputStream with 3. an example.,medium,3,srm
Identify any FIVE (5) significances of nonverbal communication in organization.,easy,1,devane
Demonstrate how can we extend basic WAE to WTA.,easy,2,srm
Explain Normal combustion and abnormal combustion Phenomena in SI engine.,easy,1,devane
(ii) Describe the Implementation diagrams with example. (10) 12. Draw and examine briefly about NextGen Activity Diagram.,medium,4,srm
Can we instantiate an abstract class?Justify,easy,2,srm
"respectively. When 5A current flows in coil 1, the total flux in this coil is 0.6 x 10-3 wb and flux linking in second coil is 0.3 x 10-3 wb. Determine L1, L2, M and K. 12. For the circuit shown in Fig. determine the voltage ratio V1/V2, which will",medium,4,srm
CMRR in instrumentation amplifiers. 17. Compare instrumentation amplifiers with operational (16) 3,medium,3,srm
(16) 2 Explain MapReduce workflow.,medium,4,srm
What are their symptoms? 22 Write a few words on nutrient intake recommendations.,easy,2,srm
Describe the operation of timer 555 with suitable block diagram.,easy,1,devane
entertainment. 6 Elaborate the following:,hard,6,srm
Explain types of price discriminations.,easy,2,devane
"Explain ""Security"" in relation to power system operation.",medium,3,srm
for a healthcare organization. 11,hard,5,srm
losses in thermic fluid heaters. Examine cooling tower performance 12 parameters and energy conservation,medium,4,srm
Group these artworks based on their artistic movements.,easy,2,devane
How iSCSI Session can be initiated?,medium,4,srm
Why active filters are preferred over passive filters?,easy,2,srm
carrier. 24. State the principle of SC – FDMA.,easy,2,srm
How to quantify the effect of noise?,easy,2,srm
Why are timing sensors critical for ignition and fuel delivery?,easy,2,srm
Discuss the errors in wheatstone bridge along with limitations.,easy,1,devane
Compare the usability of two different software interfaces.,hard,5,devane
constructing a detailed graphical demonstration. (15) 2 Construct a visual representation of parameter sharing in CNNs and assess,hard,5,srm
Are there students who should not use the Cornell method?,hard,5,devane
make the current I1 equal to zero. 13. A coil having an inductance of 100mH is magnetically coupled to,easy,1,srm
How do knowledge-based systems support decision-making?,easy,2,srm
Compare Project risk and Business Risk,medium,4,srm
a circuit. 4. Generalize the frequency response of series RLC circuit.,easy,1,srm
Draw and explain the method of plotting TTT diagram and what information is obtained from this diagram?,medium,3,devane
What is O₂ trimming in combustion control?,easy,2,srm
An e-commerce platform is assessing the effectiveness of customer segmentation algorithms for targeted marketing campaigns. Evaluate the clustering algorithms and segmentation criteria used to group customers based on purchasing behavior and preferences. Recommend segmentation validation techniques and cohort analysis methods to optimize marketing strategies and increase conversion rates.,hard,5,devane
"Hypothesize an approach for integrating blockchain technology into electronic voting systems to ensure transparency, security, and verifiability of election results.",hard,6,devane
How thin layer chromatography is better than paper,easy,2,srm
β=170. 3. How does a transistor act as a switch?,easy,1,srm
supporting network mobility. 13.,medium,4,srm
in enhancing network security. (6) b) Discuss the advantages and challenges associated with the implementation of biometric authentication mechanisms.(7) What are the potential risks and vulnerabilities associated with password- 12,medium,3,srm
State any two features of a smart grid.,easy,2,srm
techniques used in conventional crime with the cyber crime. 5 How does the digital environment contribute to the anonymity of 15,hard,6,srm
psychology? 11 List and explain the types of optical illusion in visual CO4,medium,4,srm
How exceptions are handled in program?,medium,4,srm
What are the use of Input Buffering with simple examples.,easy,1,srm
Explain the process of text normalization in speech synthesis with 16,medium,4,srm
handle context differently in language modeling tasks? 15. Explain in detail the evaluation metrics used for NLP classification tasks: 16,easy,1,srm
What are various types of welding joints used in pressure vessels?,easy,1,devane
What is the main function of a web server?,easy,1,srm
Write a LISP program to find the factorial of n numbers using recursion concept.,easy,1,devane
function of management. Distinguish between formal and informal organization and,medium,4,srm
"perception, decision, and memory.",medium,4,srm
Demonstrate how to calculate the force exerted by a hydraulic gripper given,medium,3,srm
What is meant by pressure measurement? 4,easy,1,srm
applications. 4. Define Rankine cycle.,easy,1,srm
Describe the architecture of a typical feedforward neural network.,medium,3,srm
Write the input impedance of a cascade stage.,easy,2,srm
Explain how the constraints affects the product mix.,medium,4,srm
Discuss Generative Process Planning (GPP). Draw a flow chart showing,medium,3,srm
A plane element is subjected to stresses as shown in figure 6.,medium,3,devane
(i) Deduce the initial value of 𝑋(𝑍) = (𝑍+1)(𝑍+3) (ii)Solve for the Z-transform of x(n) = (2/3)n u(n)+(-1/2)nu(n). (8) 14. Consider the analog signal 𝑥(𝑡) = 2𝑐𝑜𝑠2000𝜋𝑡 +,medium,4,srm
Describe how HR analytics is used to predict employee demand.,medium,3,srm
Compare the Bode plot and Nyquist plot analysis.,easy,2,srm
Outline the relationship between magnetic flux density and field 1,easy,2,srm
What is a Nickel-Cadmium battery? 3,easy,2,srm
"The Friesian cow, a dairy breed, is a product of selective breeding. Predict the problems that may occur during the selection of Friesian Cows.",medium,3,devane
How is language used for communication in intelligent systems?,easy,2,srm
B Explain about iSCSI Error Handling and Security? 06,easy,2,srm
achieve low-power operation. Break down the challenges of low-voltage operation in,medium,3,srm
Mention one transducer used for angular velocity measurement. 4,easy,2,srm
"resistance and rotor reactance on maximum torque, efficiency and power factor of an induction motor. 16. Describe about no load and blocked rotor test on",easy,1,srm
advantages in solar PV applications. 9 Discuss the role of PWM inverters in reducing harmonic,medium,4,srm
in the transmission line involving antenna. 12. Mention the different types of impedance matching,medium,3,srm
Define model evaluation in the context of machine learning.,easy,2,srm
Define DNS Hacks.,medium,4,srm
Explain the solum treatment used in the floor construction.,easy,2,devane
"Air at 25oC and 1 atmospheric pressure, containing small quantities of iodine flows with a velocity of 5 m/s inside a 3 cm inner diameter",medium,3,srm
Level 1 What is Aneka?,easy,1,srm
Discriminate between traditional and contemporary art forms.,hard,5,devane
State the role of hash functions in modern cryptography.,easy,1,srm
What is a magnitude comparator and what is its primary function?,easy,2,srm
Write the following in detail along with its symptoms: (i) Non-insulin-dependent diabetes mellitus. (8) CO 3,medium,3,srm
Infer the benefits of Python.,easy,2,srm
"Discuss the principles of radar systems, explaining concepts such as pulse compression and Doppler processing.",easy,2,devane
Define word embedding.,easy,1,srm
Calculate the market demand and market supply in table form.,medium,3,devane
systems in hospitals. (16) 5 7. 7Apply grounding and bonding inspection procedures to ensure CO,medium,3,srm
flow. 9. State two advantages of steam turbine over steam,easy,1,srm
Outline the FIVE (5) options marketers have when it comes to Agency Selection.,easy,2,devane
systems (EMS) and illustrate their operation with a neat diagram. 14.,medium,4,srm
"(ii)Identify the comparison between SMTP, MIME and IMAP. (8) 15 Formulate the working of Email in detail.",medium,4,srm
Differentiate indicated thermal efficiency and brake,easy,2,srm
How does the mechanical property of material vary in nano,easy,2,srm
including anesthesia gas monitors.,medium,4,srm
Explain the purpose of training the network.,easy,2,srm
How would you classify the geographic location of your school,easy,2,devane
RNNs? Explain the advantage of stacking multiple RNN layers.,easy,2,srm
"a) Explain Rayleigh, Rician, and Nakagami fading models and",medium,4,srm
"ODS, and Data Mart—with practical use cases 4.",hard,5,srm
"lights used to indicate the conveyor count status: less than 45, yellow; exactly 45, green: and more than 45, red. The count of parts on the conveyor is set at 45 each morning by an actual count of parts. There are two sensors on the conveyor. One is actuated by parts entering the conveyor, and the other is actuated by parts leaving.",hard,5,srm
Differentiate between hardwired and software interlocks.,easy,2,srm
"00263 m3. The initial pressure and temperature are 1 bar and 50oC. If the maximum pressure is limited to 25 bar, find the following: a. The air standard efficiency of the cycle. b. The mean effective pressure for the cycle. Assume the ideal conditions. 13. For the air standard Diesel cycle, the following 16",medium,4,srm
Discuss about the need for Robots.,easy,2,srm
What is the role of weight adaptation in Grossberg networks?,easy,2,srm
What is meant by transposition of conductors in an overhead line?,easy,1,devane
(7) (ii) Explain with different kernels used in SVM. (6) Explain how fuzzy logic control can be used for 7,medium,4,srm
Effective? (13) 2 Briefly explain visualization,hard,6,srm
receiver. 21. Describe the terms gain and bandwidth in antenna subsystem.,easy,1,srm
a Illustrate about “Using your monitor with efficiency in mind” in 07 Green PC.,medium,3,srm
Explain about k-nearest neighbour learning.,medium,3,srm
Compare binocular and collimated panoramic displays visual field.,easy,2,srm
Explain the common network topologies used in wireless sensor,medium,3,srm
(13) Explain in detail about the simulation of switching surges and Ferro 14,easy,2,srm
Interpret how hospital scheduling systems improve efficiency.,easy,2,srm
films with suitable examples. 10 Describe the application of visual communication in CO1,medium,3,srm
What do you mean by Quantity factor and Dissipation factor in AC bridges?,easy,1,devane
How would you classify the different types of artistic styles?,medium,4,devane
can be limited in permanent magnet? 16. Name the position sensors that are used for,easy,1,srm
Identify which country has an absolute advantage and comparative advantage in the production of pizza and cloth.,easy,2,devane
Write the advantages of CVD method?,easy,2,srm
Examine traditional warehouse layout and cross-docking layout.,medium,4,devane
PEI302 – Thermal Power Plant Instrumentation 24. Quote the digital methods of measuring speed.,easy,1,srm
stalking? How is cyber pornography typically distributed and what 18,easy,2,srm
Write the expression for latency in network topology.,easy,2,srm
Identify the examples for uniform and tapered apertures.,easy,1,srm
What is multi-step parsing?,easy,2,srm
What are the rounds in Luby-Rackoff construction?,easy,1,srm
Contrast the characteristics of rural and urban living.,easy,2,devane
where M=150 A/m and µ=1.5x10-5 H/m and B=300µT and χm=15. 16. Describe about the magnetic boundary condition at the interface (16) 3,medium,4,srm
Compare personal stress with organizational stress.,easy,2,srm
Recognize subjectivity in a debate about the best form of entertainment.,hard,5,devane
Illustrate the cross product of E and H in uniform Plane waves. 5,easy,1,srm
Explain in detail about the architecture of an ad hoc IR system with neat 16,hard,6,srm
in power transformer and how are they overcome? (13) Explain with neat block diagram of the function of 9 Synthesis of Simple Impedance Relay Using Amplitude,easy,1,srm
If three coins are tossed.,medium,3,devane
programming? 18. Explain position representation.,medium,4,srm
Two inductances L1=3mH and L2=6mH are connected in,hard,5,srm
"used to handle varying workloads in a cloud environment. 4 Discuss the Infrastructure-as-a-Service, Platform as a service and 16",medium,3,srm
Armstrong method. 9. Describe how FM generation is achieved using reactance modulators.,medium,3,srm
What are global drivers of smart grid driver?,easy,1,srm
magnetization. 15. What is relative permeability of material? 3,easy,1,srm
Obtain the expression for voltage across capacitor in series RC circuit connected to a.,medium,4,devane
Q. Questions CO BT Level Competence No. 1 Give the range of visible spectrum.,easy,1,srm
"Examine the various types of keys—primary keys, foreign keys, candidate keys, and composite keys—and their roles in maintaining data integrity and enabling efficient querying. Discuss how keys",medium,4,srm
Define the term Class instantiation.,hard,5,srm
"i. With a neat schematic diagram, quote the (10) separation principle of HPLC (High Pressure",medium,3,srm
Point out on visual feedback.,easy,1,srm
Discuss the Z- transform and its associated ROC for the signal,easy,2,srm
Define Scanning Electron Microscopy (SEM).,easy,1,srm
"gain combining. 13. Assume four branches are used, where each branch receives an",easy,2,srm
"Distinguish Alpha, Beta and Gamma rays.",easy,2,srm
Capacitor. 8. Discuss about the quality factor of a series resonant circuit.,easy,2,srm
Briefly explain cascading rollback.,easy,2,srm
Explain various stages of combustion in S.,easy,1,devane
Mention importance of material selection.,easy,2,srm
Draw a transition diagram for a turing machine to identify,easy,1,srm
using method of variation of parameter 25. Write the formula for finding particular integral in solving ODE,easy,1,srm
scaling and switched capacitance minimization. 15. Optimize logic styles to reduce switched capacitance at,medium,3,srm
(16) 3 Determine the inductance per km of a transposed double circuit 3-φ line shown,easy,2,srm
Why isolation amplifiers are needed for bio signal acquisition,easy,1,srm
Quote the definition of a pile cap in deep foundation design?,easy,1,devane
(ii) Distinguish between essential and optional requirements of an (5) LCU. 3. Use diagrams to show different architectures of the local control unit,medium,3,srm
What is Distance Vector Routing?,easy,1,srm
using impulse response method. 13. When correlation analysis is required?,easy,1,srm
How do you ensure the efficiency and Optimize the,medium,3,srm
Outline the key principles of a marketing strategy.,medium,4,devane
What adjustments would you make to a food delivery app to improve order accuracy?,hard,6,devane
"between 1 MPa and 100 kPa is required to produce a cooling effect of 2000 kJ/min. Temperature of the air leaving the cold chamber is -5oC and at leaving the cooler is 30oC. neglect losses and clearance in the compressor and expander. Determine: a. Mass of air circulated per minute; b. Compressor work, expander work, cycle work; c. C.O.P. and power in kW required. 16. In a standard vapour compression refrigeration 16",hard,5,srm
Explain the Madrid Protocol and its advantages.,medium,3,srm
What is adaptive chosen ciphertext attack?,easy,2,srm
Invent a blockchain-based solution for transparent and tamper-proof certification of academic credentials and professional qualifications.,hard,6,devane
Compare and contrast different approaches to privacy-preserving data mining techniques and evaluate their effectiveness in protecting sensitive information.,medium,3,devane
(16) 11 Explain in detail about Network Virtualization with its architecture Diagram,medium,4,srm
Perceptron (SLP) and Multilayer Perceptron (MLP). 3. What is an adaptive filtering problem?,easy,1,srm
Mention any four PLC input devices and output devices used in process,easy,1,srm
Categorize the difference between active and passive bio signals?,easy,2,srm
(ii) Mining Bitcoins on your own (7) 8. Explain Block propagation and block relay. Give the uses of,medium,4,srm
Explain about DAS and types of DAS? 13,easy,1,srm
Generalize in detail about RDD.,hard,6,srm
alternator. Explain in detail.,easy,1,srm
Compare physical neuron and artificial neuron,easy,2,srm
Explain about Green IT ethics and code of conduct. 13,medium,4,srm
Compare Descriptive and Inferential Statistics.,medium,4,srm
struts-config.xml and web.xml. 7. Discuss in detail the Struts tag libraries and their role in simplifying,medium,4,srm
What are the two types of signals identified in the Back Propagation,easy,2,srm
What is internet hacking?,medium,3,srm
Name how matrix inversion is used in linear regression.,easy,1,srm
Compare the following:,medium,4,srm
Describe the construction and working of the Universal motor with the help of suitable diagrams and state its two applications.,easy,1,devane
How can you recognize subjectivity in an argument or discussion?,hard,5,devane
Can external resistance be added to squirrel cage rotor?,medium,3,devane
Conclude the application of the following;,hard,5,srm
Realize the Fourier transform of each of the following signals,medium,4,srm
Explain the term I/O module in a PLC system.,easy,1,srm
Provide a tabulated chart of the nutritional content of different fruits.,easy,1,devane
List the main components of an IC engine. 1,easy,1,srm
Define pitch and its significance in speech synthesis.,easy,1,srm
Outline the concept of flat earth propagation model.,easy,2,srm
"Explain the concept of spread spectrum modulation techniques (e.g., direct sequence, frequency hopping), discussing their advantages in anti-jamming and security.",easy,2,devane
Identify a phrase as a simile,easy,1,devane
Illustrate what is dependent and independent variable.,easy,1,srm
Explain the working of OPAMP as comparator.,easy,2,devane
Select the relevant case studies for a qualitative research project.,medium,4,devane
In Armature Reaction Explain the following (16) CO2 terms (i) Main field of DC Machine (ii) Armature Field,hard,5,srm
Define the term Reflux ratio.,easy,1,srm
"techniques (network analyzer method, slotted-line method, and bridge method) and explain their operating principles with neat diagrams. 15. Illustrate the procedure for measuring VSWR using a slotted",medium,3,srm
Define fixed and variable voltage regulator.,easy,1,devane
under damped system due to unit step input. (i) Rise time. (4) (ii) Peak time. (4) (iii) Delay time. (4) (iv) Peak over shoot. (4) 8. The unity feedback system is characterized by an open loop transfer function CO 2,medium,3,srm
"Infer about octet, quad, pair and isolated ones.",easy,2,srm
How could we determine the number of pennies in a jar without counting them?,hard,6,devane
What is containerization?,easy,2,srm
Why Operational amplifiers are preferred to,easy,1,srm
Differentiate Telecommuting & Teleconferencing.,easy,2,srm
List out the conditions of total internal reflection.,easy,2,srm
Compare and contrast different types of Bitcoin transactions. (8) (ii) Provide real-world use cases.,medium,4,srm
A cylindrical boiler is 2.,medium,3,devane
together to ensure a secure transaction? -,medium,4,srm
"advantages, disadvantages, and possible solutions. Inspect the handoff process in Mobile IP and explain how seamless 10",medium,4,srm
Q. Questions CO BT Competence No Level 1. State Sampling theorem.,easy,1,srm
lattice constant. 24. Write any two melt growth techniques for growing crystals.,easy,1,srm
(b) Compare normalization techniques. (8) 13 Describe with examples how similarity measures can be used in question answering,medium,3,srm
cantilever beam subjected to UDL over entire span. 19 Write down bending moment equation.,easy,1,srm
Assess the controls of protecting the secure facility.,hard,5,srm
(ii)Explain the function of each component in handling communication and mobility.,medium,4,srm
Explain in detail about the Dialogue acts used by the HIS restaurant 16,hard,6,srm
"Describe the construction, working principle and applications of shaded-pole single phase induction motor with neat",medium,3,srm
Can you group by characteristics such as . . .?,medium,3,devane
Protocol (CAP). 11. (i)Provide a detailed explanation of service discovery,medium,4,srm
security is integrated into the broader business goals. B,hard,5,srm
Explain whether symmetric and asymmetric 14,easy,2,srm
ultrasound can be used for diagnosis? 11. Explain the operation of Endoscopy and prepare its clinical,medium,4,srm
How do complexity models help in QMS?,easy,2,srm
Explain the working of SET with neat diagram.,medium,4,srm
Recall the characteristics of a DDoS (Distributed Denial of Service) attack?,easy,1,devane
example. (16) 4. Interpret UML state machine diagram and Modeling.,medium,4,srm
manufacturing. 11 Give an example of hybrid manufacturing.,easy,2,srm
List the types of D/A converters. 5,easy,1,srm
How do you approach understanding complex information?,easy,2,devane
Compare synchronous and ripple counter.,easy,1,devane
Compare pH electrodes and Ion selective electrodes.,easy,2,srm
information. (15) 4 Explain in detail about the steps in disseminating the cyber threat information.,hard,5,srm
What do you mean by Industrial Automation?,easy,1,devane
Express the rule in function notation,easy,2,devane
What is parametric modeling?,easy,1,devane
Define hybrid energy storage system (HESS).,easy,1,srm
partial products for an 8×8 multiplier. 23. Assess the suitability of Wallace tree multipliers for high-speed,easy,2,srm
Discuss the working of a parabola collector with neat sketch.,easy,1,devane
What is the typical conduct during Software Process Assessment?,easy,1,srm
What is Functional Point Analysis (FPA) ?,easy,1,srm
Why are PLCs preferred in hazardous process plants.,easy,2,srm
Q. Questions CO BT Competence No. Level 1. What is white noise? Give its characteristics.,easy,1,srm
List the advantages of DTL.,easy,2,srm
loss of Charge method.,medium,4,srm
Give one example of a vulnerability exploited remotely.,easy,2,srm
Wheat stone bridge. 4. Compare and contrast Kelvin’s double bridge from Kelvin CO 03,easy,1,srm
Compare 2 symmetrical and unsymmetrical faults?,hard,5,srm
warehouse environment. 14.,medium,3,srm
"Describe the integration of BSN (in tree, mesh and star topologies) with ASN for healthcare applications.",medium,3,srm
going according to plan. 15 Examine the various aspects of risk evaluation in detail.,medium,4,srm
Explain theory of stadia tacheometry?,easy,2,devane
List the application of the quarter wave matching section.,easy,1,srm
Describe how resonant coupling enhances wireless power efficiency.,easy,2,srm
What is the need for petroleum recovery.,easy,1,srm
Explain how grounding prevents electrical hazards in hospitals.,easy,2,srm
of robots. 13. List and explain indirect costs and savings in a robot application,medium,4,srm
Mention two challenges in managing metadata.,easy,1,srm
"cases, performance, and suitability for mobile applications. Write a detailed note on TCP performance optimization techniques for 17 mobile networks, including Fast Retransmit, Fast Recovery, Selective",hard,6,srm
Mention the functions of Circulatory System.,easy,2,srm
Specify Some of the Leading Intrusion Detection Systems (IDS) 15,medium,3,srm
systems. 7. Define the importance of transformers in energy,medium,4,srm
function with gain cross over frequency of 5rad/sec. (16) 4.,medium,4,srm
How can you experiment to explore the effects of different wavelengths of light on plant growth?,medium,3,devane
consumption. Demonstrate the working of precharge and equalization,medium,4,srm
Explain various debugging feature of 80386.,easy,2,devane
algorithm used for Hidden surface removal process. 15 Explain in detail on 3D modeling techniques.,medium,4,srm
(DMFC)? 8. Mention one limitation of DMFC.,easy,1,srm
What is a universal function? Explain clearly each function,medium,3,srm
"Calculate the maximum torque that a shaft of 125mm diameter can 10 transmit, if the maximum angle of twist is 1 degree for a length of 1.5 m",medium,3,srm
Name the resistive forces acting on a moving EV.,easy,1,srm
converter/chopper fed DC drive. 18. Describe the current limit control and time-ratio,medium,4,srm
Compare the different types of distance metrics used in clustering and classification tasks.,easy,2,devane
âThe US dollar hit its highest levels in years shortly after Donald Trump won the presidential election in November 2016.â The statement above refers to the strong dollar scenario. Explain the pros and cons under this scenario.,medium,4,devane
State the objectives of energy audit.,easy,2,srm
Point out the attacks of RSA cryptosystem,easy,1,srm
"A renewable energy company is designing a solar power plant for generating electricity in a desert region with high solar irradiance. Analyze the factors that influence the selection of solar photovoltaic (PV) technologies (e.g., monocrystalline, polycrystalline, thin-film) and mounting configurations for maximizing energy yield and minimizing land use.",medium,4,devane
Identify the application of restricted earth fault protection.,easy,2,srm
Identify four tasks in addition to relay switching operations that PLCs are,easy,1,srm
Explain how brute force attack is used in Network?,easy,2,srm
for induction motor? 8. What are the different methods of speed control,easy,1,srm
Calculate the velocity of an object in uniform circular motion.,medium,3,devane
Discuss determination of trade secret status with suitable,medium,3,srm
propose an architecture for mm Wave 5G base stations. 15.,medium,4,srm
What are image editing tools? Give one example.,easy,1,srm
Explain how Timothy saved Phillip's life.,easy,2,devane
What are stopwords? Why are they removed in NLP tasks? Discuss,easy,2,srm
Interpret the different types of virus in detail. Suggest scenarios for deploying these types in network.,medium,3,srm
State the purpose of a bus coupler.,easy,2,srm
Differentiate between 2D and 2½D animation.,easy,2,srm
compare their impact on network lifetime versus traditional wireless networks. 11. Examine the node architecture components and,medium,4,srm
Identify the function of the Program Counter (PC).,easy,1,srm
analyzers and their applications in power plants. 6. Define Turbine Supervising System. Explain the various parameters it,medium,3,srm
of phased arrays. 9. (i) Derive expression for directivity of end fire array.,medium,3,srm
Show how to use the line-height property to adjust line spacing.,easy,2,srm
Compare Ripple with Ethereum in terms of transaction processing.,easy,2,srm
stored in distributed cloud systems. (16) 12. Discuss the importance of establishing standardized procedures in,easy,1,srm
Write the relationship between the terminal impedances of,easy,1,srm
mobility and traffic load conditions. Critically,hard,5,srm
Define Magnitude response and phase response.,easy,1,devane
"You are leading a team of data scientists in developing an artificial intelligence (AI) system for predictive maintenance of industrial machinery. Create a predictive maintenance model using machine learning algorithms to analyze sensor data, detect equipment failures in advance, and schedule maintenance activities proactively to minimize downtime and maintenance costs.",hard,6,devane
Give reasons why dataset augmentation is essential for training models.,easy,2,srm
optimization problem. 15.,medium,4,srm
Distinguish between saturated and unsaturated fatty acids.,easy,2,srm
"Define data warehouse, DataMart and data lake.",easy,2,srm
Propose creative solutions for reducing construction waste and promoting recycling in the construction industry.,medium,3,devane
Enumerate the importance of time graded relay?,hard,5,srm
State one function of a magnetic gripper and one function of a vacuum gripper.,easy,2,srm
Explain Monte Carlo methods.,hard,5,srm
What are the key technological advancements in this area? Write an essay on ocean energy technologies. Explain 14.,medium,3,srm
CMOS inverter. 9. Write about the following MOS model with necessary,medium,4,srm
Explain concept of rotating magnetic field in ease of 3 phase induction motor.,easy,2,devane
Explain one example try block with multiple catch statements.,easy,2,devane
characteristics of reflex klystron. (ii) Draw the equivalent circuit and obtain the electronic (6) CO4 spiral curve of reflex klystron. 9. Describe the working principle of Gunn diode oscillator and,medium,3,srm
Demonstrate about the Bag of Words (BoW) model in detail. Discuss its,medium,3,srm
Compare vapour compression and vapour absorption,easy,2,srm
principles and usage scenarios. 4 Explain the working of FTP with neat diagrams. Highlight the difference,medium,3,srm
Explain grid connected wind energy conversion system with the help of neat diagram.,easy,1,devane
List the components of Core IoT Functional Stack.,easy,1,srm
What are confidentiality agreements?,easy,1,srm
Draw and explain the Task State Segment of 80386.,medium,4,devane
List the types of Lubricants with at list two examples.,easy,1,devane
Examine the effect of shift in pole location with 3 bits coefficient representation in direct and cascade forms. (16) Explain the characteristics of limit cycle oscillations to the CO 5 system described by the difference equation y(n)= 0.95y(n- 7 10) + x(n); x(n)=0 and y(n-1)=13. Determine the dead band of,easy,2,srm
What are factors contributing to noise in an earth station,easy,2,srm
What is torque-producing current component? 5,easy,2,srm
Define Generalization Relationship.,easy,1,srm
"Explain the concept of regularization techniques in machine learning, discussing their role in preventing overfitting.",easy,2,devane
Describe message logging–based rollback recovery.,medium,4,srm
training Recurrent Neural Networks (RNNs). 11. Give the significance of the vocabulary in Natural Language,easy,2,srm
Mention various hydrocarbons present in petroleum.,easy,1,srm
Double Jet Pelton Wheel has a specific speed of 14 and is required to deliver 1000 kW.,medium,3,devane
marketing) and explain how it supports decision-making.,medium,4,srm
Differentiate a short note on Subtypes and Supertypes?,medium,4,srm
How is current measured using digital instruments? 5,easy,2,srm
How does your pet differ from other animals?,medium,4,devane
(ii)Discuss about the context-free grammar. (5) Discuss in detail about the role of parser and What are the (16) 7. Error recovery techniques used in Predictive parsing?,medium,4,srm
programming ii) Describe the methods of defining positions in space,easy,2,srm
Describe the working principle of Zener diode. And explain,easy,1,srm
Name and sketch the proposed retaining wall in plan view to show the main elements of the wall.,medium,3,devane
What is Maslow's need hierarchy theory?,easy,2,srm
Write an explanatory note on pneumatic conveyors.,medium,4,devane
What is DSS? Specify its requirements.,easy,1,srm
analytics? 10 List the types of Business analytics.,easy,2,srm
How a class is instantiated?,medium,3,srm
